#,Status,Star,Problem,Difficulty,Score,Category,Pattern
58,TODO,FALSE,[4Sum](https://leetcode.com/problems/4sum/),Medium,,,
59,TODO,FALSE,[Container With Most Water](https://leetcode.com/problems/container-with-most-water/),Medium,,,
60,TODO,FALSE,[Number of Subsequences That Satisfy The Given Sum Condition](https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/),Medium,,,
61,TODO,FALSE,[Rotate Array](https://leetcode.com/problems/rotate-array/),Medium,,,
62,TODO,FALSE,[Array With Elements Not Equal to Average of Neighbors](https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors/),Medium,,,
63,TODO,FALSE,[Boats to Save People](https://leetcode.com/problems/boats-to-save-people/),Medium,,,
64,TODO,FALSE,[Trapping Rain Water](https://leetcode.com/problems/trapping-rain-water/),Hard,,,
65,TODO,FALSE,[Best Time to Buy And Sell Stock](https://leetcode.com/problems/best-time-to-buy-and-sell-stock/),Easy,,,
66,REPEAT,FALSE,[Contains Duplicate II](https://leetcode.com/problems/contains-duplicate-ii/),Easy,4,"hash maps, hash set",
67,TODO,FALSE,[Number of Sub Arrays of Size K and Avg Greater than or Equal to Threshold](https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/),Medium,,,
68,TODO,FALSE,[Longest Substring Without Repeating Characters](https://leetcode.com/problems/longest-substring-without-repeating-characters/),Medium,,,
69,TODO,FALSE,[Longest Repeating Character Replacement](https://leetcode.com/problems/longest-repeating-character-replacement/),Medium,,,
70,TODO,FALSE,[Permutation In String](https://leetcode.com/problems/permutation-in-string/),Medium,,,
71,TODO,FALSE,[Frequency of The Most Frequent Element](https://leetcode.com/problems/frequency-of-the-most-frequent-element/),Medium,,,
72,TODO,FALSE,[Minimum Number of Flips to Make The Binary String Alternating](https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating/),Medium,,,
73,TODO,FALSE,[Minimum Size Subarray Sum](https://leetcode.com/problems/minimum-size-subarray-sum/),Medium,,,
74,TODO,FALSE,[Find K Closest Elements](https://leetcode.com/problems/find-k-closest-elements/),Medium,,,
75,TODO,FALSE,[Minimum Window Substring](https://leetcode.com/problems/minimum-window-substring/),Hard,,,
76,TODO,FALSE,[Sliding Window Maximum](https://leetcode.com/problems/sliding-window-maximum/),Hard,,,
77,TODO,FALSE,[Valid Parentheses](https://leetcode.com/problems/valid-parentheses/),Easy,,,
78,TODO,FALSE,[Baseball Game](https://leetcode.com/problems/baseball-game/),Easy,,,
79,TODO,FALSE,[Implement Stack Using Queues](https://leetcode.com/problems/implement-stack-using-queues/),Easy,,,
80,TODO,FALSE,[Min Stack](https://leetcode.com/problems/min-stack/),Medium,,,
81,TODO,FALSE,[Evaluate Reverse Polish Notation](https://leetcode.com/problems/evaluate-reverse-polish-notation/),Medium,,,
82,TODO,FALSE,[Generate Parentheses](https://leetcode.com/problems/generate-parentheses/),Medium,,,
83,TODO,FALSE,[Asteroid Collision](https://leetcode.com/problems/asteroid-collision/),Medium,,,
84,TODO,FALSE,[Daily Temperatures](https://leetcode.com/problems/daily-temperatures/),Medium,,,
85,TODO,FALSE,[Online Stock Span](https://leetcode.com/problems/online-stock-span/),Medium,,,
